Theta;I
12.1200;44
12.1400;62
12.1600;54
12.1800;52
12.2000;48
12.2200;54
12.2400;40
12.2600;54
12.2800;44
12.3000;36
12.3200;62
12.3400;60
12.3600;38
12.3800;46
12.4000;50
12.4200;58
12.4400;46
12.4600;50
12.4800;44
12.5000;42
12.5200;46
12.5400;42
12.5600;46
12.5800;42
12.6000;44
12.6200;50
12.6400;46
12.6600;50
12.6800;50
12.7000;42
12.7200;28
12.7400;48
12.7600;38
12.7800;20
12.8000;34
12.8200;30
12.8400;40
12.8600;40
12.8800;30
12.9000;32
12.9200;38
12.9400;28
12.9600;48
12.9800;40
13.0000;24
13.0200;40
13.0400;32
13.0600;32
13.0800;34
13.1000;28
13.1200;36
13.1400;48
13.1600;26
13.1800;42
13.2000;30
13.2200;38
13.2400;48
13.2600;38
13.2800;38
13.3000;40
13.3200;38
13.3400;30
13.3600;36
13.3800;32
13.4000;34
13.4200;38
13.4400;26
13.4600;30
13.4800;32
13.5000;48
13.5200;42
13.5400;44
13.5600;40
13.5800;34
13.6000;34
13.6200;38
13.6400;28
13.6600;32
13.6800;34
13.7000;44
13.7200;30
13.7400;42
13.7600;36
13.7800;40
13.8000;36
13.8200;50
13.8400;40
13.8600;40
13.8800;46
13.9000;42
13.9200;40
13.9400;34
13.9600;22
13.9800;28
14.0000;34
14.0200;40
14.0400;40
14.0600;40
14.0800;36
14.1000;46
14.1200;36
14.1400;34
14.1600;46
14.1800;40
14.2000;38
14.2200;34
14.2400;32
14.2600;48
14.2800;26
14.3000;40
14.3200;42
14.3400;32
14.3600;32
14.3800;34
14.4000;38
14.4200;32
14.4400;42
14.4600;34
14.4800;40
14.5000;46
14.5200;52
14.5400;36
14.5600;32
14.5800;40
14.6000;40
14.6200;44
14.6400;38
14.6600;52
14.6800;28
14.7000;44
14.7200;36
14.7400;38
14.7600;28
14.7800;38
14.8000;50
14.8200;38
14.8400;32
14.8600;44
14.8800;42
14.9000;46
14.9200;54
14.9400;40
14.9600;40
14.9800;34
15.0000;44
15.0200;42
15.0400;52
15.0600;46
15.0800;30
15.1000;36
15.1200;46
15.1400;46
15.1600;44
15.1800;32
15.2000;40
15.2200;50
15.2400;38
15.2600;46
15.2800;36
15.3000;34
15.3200;44
15.3400;52
15.3600;52
15.3800;36
15.4000;28
15.4200;52
15.4400;34
15.4600;42
15.4800;34
15.5000;42
15.5200;44
15.5400;32
15.5600;40
15.5800;40
15.6000;54
15.6200;48
15.6400;28
15.6600;52
15.6800;34
15.7000;42
15.7200;40
15.7400;42
15.7600;42
15.7800;50
15.8000;40
15.8200;38
15.8400;58
15.8600;34
15.8800;40
15.9000;52
15.9200;44
15.9400;36
15.9600;44
15.9800;54
16.0000;46
16.0200;46
16.0400;48
16.0600;44
16.0800;44
16.1000;46
16.1200;46
16.1400;52
16.1600;64
16.1800;46
16.2000;52
16.2200;40
16.2400;46
16.2600;54
16.2800;40
16.3000;44
16.3200;40
16.3400;54
16.3600;44
16.3800;42
16.4000;64
16.4200;50
16.4400;44
16.4600;34
16.4800;54
16.5000;58
16.5200;64
16.5400;32
16.5600;44
16.5800;54
16.6000;48
16.6200;38
16.6400;54
16.6600;44
16.6800;50
16.7000;46
16.7200;50
16.7400;46
16.7600;48
16.7800;52
16.8000;42
16.8200;40
16.8400;44
16.8600;42
16.8800;40
16.9000;74
16.9200;42
16.9400;62
16.9600;52
16.9800;52
17.0000;66
17.0200;60
17.0400;50
17.0600;52
17.0800;40
17.1000;44
17.1200;64
17.1400;48
17.1600;54
17.1800;56
17.2000;40
17.2200;62
17.2400;48
17.2600;78
17.2800;56
17.3000;44
17.3200;48
17.3400;50
17.3600;54
17.3800;60
17.4000;74
17.4200;62
17.4400;42
17.4600;54
17.4800;44
17.5000;52
17.5200;58
17.5400;58
17.5600;58
17.5800;66
17.6000;40
17.6200;56
17.6400;58
17.6600;62
17.6800;66
17.7000;44
17.7200;54
17.7400;58
17.7600;56
17.7800;64
17.8000;68
17.8200;64
17.8400;54
17.8600;70
17.8800;66
17.9000;66
17.9200;60
17.9400;66
17.9600;80
17.9800;54
18.0000;70
18.0200;70
18.0400;52
18.0600;54
18.0800;50
18.1000;72
18.1200;64
18.1400;68
18.1600;52
18.1800;56
18.2000;70
18.2200;70
18.2400;56
18.2600;60
18.2800;80
18.3000;74
18.3200;68
18.3400;80
18.3600;72
18.3800;60
18.4000;64
18.4200;68
18.4400;74
18.4600;72
18.4800;62
18.5000;66
18.5200;66
18.5400;56
18.5600;62
18.5800;78
18.6000;68
18.6200;72
18.6400;74
18.6600;86
18.6800;76
18.7000;76
18.7200;82
18.7400;78
18.7600;84
18.7800;88
18.8000;62
18.8200;82
18.8400;100
18.8600;70
18.8800;74
18.9000;96
18.9200;92
18.9400;78
18.9600;64
18.9800;78
19.0000;78
19.0200;96
19.0400;80
19.0600;72
19.0800;96
19.1000;86
19.1200;92
19.1400;106
19.1600;84
19.1800;88
19.2000;78
19.2200;88
19.2400;116
19.2600;98
19.2800;112
19.3000;116
19.3200;116
19.3400;106
19.3600;122
19.3800;130
19.4000;120
19.4200;128
19.4400;124
19.4600;132
19.4800;112
19.5000;140
19.5200;128
19.5400;152
19.5600;150
19.5800;150
19.6000;146
19.6200;134
19.6400;148
19.6600;146
19.6800;142
19.7000;166
19.7200;152
19.7400;152
19.7600;144
19.7800;172
19.8000;162
19.8200;160
19.8400;156
19.8600;156
19.8800;180
19.9000;210
19.9200;196
19.9400;186
19.9600;192
19.9800;176
20.0000;208
20.0200;176
20.0400;182
20.0600;156
20.0800;158
20.1000;176
20.1200;170
20.1400;184
20.1600;172
20.1800;172
20.2000;162
20.2200;154
20.2400;190
20.2600;164
20.2800;138
20.3000;178
20.3200;154
20.3400;152
20.3600;166
20.3800;166
20.4000;136
20.4200;154
20.4400;134
20.4600;154
20.4800;136
20.5000;154
20.5200;156
20.5400;138
20.5600;124
20.5800;114
20.6000;118
20.6200;144
20.6400;130
20.6600;124
20.6800;118
20.7000;130
20.7200;116
20.7400;130
20.7600;112
20.7800;124
20.8000;124
20.8200;116
20.8400;114
20.8600;116
20.8800;126
20.9000;132
20.9200;106
20.9400;120
20.9600;120
20.9800;124
21.0000;116
21.0200;138
21.0400;118
21.0600;94
21.0800;122
21.1000;114
21.1200;104
21.1400;106
21.1600;108
21.1800;106
21.2000;138
21.2200;134
21.2400;120
21.2600;130
21.2800;110
21.3000;126
21.3200;124
21.3400;134
21.3600;152
21.3800;128
21.4000;108
21.4200;130
21.4400;132
21.4600;136
21.4800;122
21.5000;134
21.5200;136
21.5400;154
21.5600;148
21.5800;146
21.6000;160
21.6200;160
21.6400;152
21.6600;144
21.6800;140
21.7000;136
21.7200;154
21.7400;174
21.7600;160
21.7800;164
21.8000;152
21.8200;168
21.8400;172
21.8600;184
21.8800;170
21.9000;192
21.9200;160
21.9400;172
21.9600;154
21.9800;170
22.0000;162
22.0200;182
22.0400;204
22.0600;166
22.0800;196
22.1000;160
22.1200;156
22.1400;162
22.1600;190
22.1800;172
22.2000;166
22.2200;170
22.2400;160
22.2600;160
22.2800;180
22.3000;142
22.3200;174
22.3400;124
22.3600;156
22.3800;146
22.4000;158
22.4200;124
22.4400;146
22.4600;156
22.4800;120
22.5000;130
22.5200;138
22.5400;114
22.5600;116
22.5800;118
22.6000;102
22.6200;132
22.6400;120
22.6600;96
22.6800;108
22.7000;126
22.7200;122
22.7400;102
22.7600;102
22.7800;86
22.8000;116
22.8200;88
22.8400;112
22.8600;92
22.8800;108
22.9000;112
22.9200;80
22.9400;118
22.9600;94
22.9800;90
23.0000;108
23.0200;74
23.0400;96
23.0600;86
23.0800;82
23.1000;84
23.1200;90
23.1400;84
23.1600;86
23.1800;96
23.2000;94
23.2200;104
23.2400;106
23.2600;94
23.2800;70
23.3000;86
23.3200;106
23.3400;88
23.3600;100
23.3800;80
23.4000;92
23.4200;80
23.4400;86
23.4600;74
23.4800;94
23.5000;88
23.5200;88
23.5400;108
23.5600;86
23.5800;96
23.6000;76
23.6200;72
23.6400;74
23.6600;90
23.6800;74
23.7000;82
23.7200;98
23.7400;88
23.7600;90
23.7800;82
23.8000;92
23.8200;84
23.8400;80
23.8600;86
23.8800;90
23.9000;60
23.9200;70
23.9400;60
23.9600;80
23.9800;78
24.0000;68
24.0200;80
24.0400;78
24.0600;84
24.0800;74
24.1000;78
24.1200;78
24.1400;78
24.1600;70
24.1800;90
24.2000;76
24.2200;74
24.2400;80
24.2600;88
24.2800;84
24.3000;76
24.3200;80
24.3400;82
24.3600;82
24.3800;82
24.4000;98
24.4200;78
24.4400;72
24.4600;90
24.4800;74
24.5000;78
24.5200;88
24.5400;92
24.5600;82
24.5800;86
24.6000;78
24.6200;66
24.6400;78
24.6600;76
24.6800;70
24.7000;68
24.7200;74
24.7400;84
24.7600;82
24.7800;90
24.8000;86
24.8200;90
24.8400;74
24.8600;76
24.8800;80
24.9000;72
24.9200;82
24.9400;84
24.9600;78
24.9800;78
25.0000;68
25.0200;88
25.0400;80
25.0600;70
25.0800;72
25.1000;74
25.1200;68
25.1400;66
25.1600;80
25.1800;94
25.2000;84
25.2200;100
25.2400;86
25.2600;80
25.2800;80
25.3000;76
25.3200;68
25.3400;68
25.3600;74
25.3800;80
25.4000;82
25.4200;76
25.4400;68
25.4600;88
25.4800;76
25.5000;74
25.5200;74
25.5400;92
25.5600;92
25.5800;74
25.6000;76
25.6200;94
25.6400;70
25.6600;94
25.6800;74
25.7000;90
25.7200;70
25.7400;70
25.7600;90
25.7800;82
25.8000;80
25.8200;92
25.8400;94
25.8600;72
25.8800;94
25.9000;72
25.9200;88
25.9400;74
25.9600;82
25.9800;68
26.0000;76
26.0200;76
26.0400;78
26.0600;88
26.0800;62
26.1000;88
26.1200;86
26.1400;74
26.1600;78
26.1800;76
26.2000;96
26.2200;88
26.2400;78
26.2600;78
26.2800;78
26.3000;62
26.3200;70
26.3400;78
26.3600;74
26.3800;82
26.4000;60
26.4200;70
26.4400;80
26.4600;82
26.4800;70
26.5000;78
26.5200;72
26.5400;94
26.5600;94
26.5800;74
26.6000;84
26.6200;78
26.6400;76
26.6600;78
26.6800;70
26.7000;68
26.7200;86
26.7400;98
26.7600;62
26.7800;54
26.8000;76
26.8200;72
26.8400;66
26.8600;76
26.8800;78
26.9000;90
26.9200;74
26.9400;58
26.9600;66
26.9800;70
27.0000;60
27.0200;62
27.0400;84
27.0600;76
27.0800;74
27.1000;76
27.1200;82
27.1400;86
27.1600;82
27.1800;84
27.2000;90
27.2200;64
27.2400;56
27.2600;70
27.2800;90
27.3000;78
27.3200;68
27.3400;58
27.3600;78
27.3800;82
27.4000;74
27.4200;66
27.4400;64
27.4600;76
27.4800;60
27.5000;66
27.5200;72
27.5400;78
27.5600;74
27.5800;68
27.6000;68
27.6200;58
27.6400;64
27.6600;70
27.6800;72
27.7000;66
27.7200;76
27.7400;68
27.7600;76
27.7800;76
27.8000;78
27.8200;78
27.8400;94
27.8600;72
27.8800;64
27.9000;74
27.9200;76
27.9400;60
27.9600;78
27.9800;78
28.0000;66
28.0200;82
28.0400;80
28.0600;70
28.0800;76
28.1000;104
28.1200;84
28.1400;80
28.1600;76
28.1800;76
28.2000;84
28.2200;94
28.2400;78
28.2600;76
28.2800;82
28.3000;72
28.3200;86
28.3400;60
28.3600;76
28.3800;86
28.4000;80
28.4200;60
28.4400;72
28.4600;74
28.4800;68
28.5000;92
28.5200;60
28.5400;78
28.5600;68
28.5800;64
28.6000;78
28.6200;64
28.6400;68
28.6600;74
28.6800;84
28.7000;86
28.7200;76
28.7400;70
28.7600;80
28.7800;60
28.8000;64
28.8200;58
28.8400;70
28.8600;68
28.8800;68
28.9000;80
28.9200;74
28.9400;78
28.9600;60
28.9800;86
29.0000;70
29.0200;76
29.0400;66
29.0600;56
29.0800;76
29.1000;84
29.1200;92
29.1400;68
29.1600;62
29.1800;72
29.2000;80
29.2200;66
29.2400;72
29.2600;80
29.2800;76
29.3000;62
29.3200;88
29.3400;74
29.3600;64
29.3800;80
29.4000;78
29.4200;76
29.4400;70
29.4600;44
29.4800;64
29.5000;66
29.5200;62
29.5400;58
29.5600;64
29.5800;60
29.6000;82
29.6200;74
29.6400;52
29.6600;64
29.6800;64
29.7000;62
29.7200;78
29.7400;64
29.7600;74
29.7800;74
29.8000;62
29.8200;66
29.8400;50
29.8600;78
29.8800;80
29.9000;66
29.9200;62
29.9400;94
29.9600;72
29.9800;66
30.0000;70
30.0200;70
30.0400;64
30.0600;52
30.0800;58
30.1000;60
30.1200;78
30.1400;56
30.1600;50
30.1800;62
30.2000;68
30.2200;76
30.2400;62
30.2600;62
30.2800;64
30.3000;64
30.3200;56
30.3400;66
